"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-core-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-core/6.1.1/spring-core-6.1.1.jar,Spring Core,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",7a787700b8de9fc9034ffdc070517f51,22d73bef97aff8a74a992716fe1aafc8f8a8a68d,pkg:maven/org.springframework/spring-core@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*",CVE-2024-22233,CWE-400 Uncontrolled Resource Consumption,"In Spring Framework versions 6.0.15 and 6.1.2, it is possible for a user to provide specially crafted HTTP requests that may cause a denial-of-service (DoS) condition.  Specifically, an application is vulnerable when all of the following are true:    *  the application uses Spring MVC   *  Spring Security 6.1.6+ or 6.2.1+ is on the classpath   Typically, Spring Boot applications need the org.springframework.boot:spring-boot-starter-web and org.springframework.boot:spring-boot-starter-security dependencies to meet all conditions.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2024-22233 for details",OSSINDEX,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,41,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-core-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-core/6.1.1/spring-core-6.1.1.jar,Spring Core,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",7a787700b8de9fc9034ffdc070517f51,22d73bef97aff8a74a992716fe1aafc8f8a8a68d,pkg:maven/org.springframework/spring-core@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*",CVE-2024-38820,NVD-CWE-noinfo,"The fix for CVE-2022-22968 made disallowedFields patterns in DataBinder case insensitive. However, String.toLowerCase() has some Locale dependent exceptions that could potentially result in fields not protected as expected.",NVD,"","","",MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,41,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-core-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-core/6.1.1/spring-core-6.1.1.jar,Spring Core,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",7a787700b8de9fc9034ffdc070517f51,22d73bef97aff8a74a992716fe1aafc8f8a8a68d,pkg:maven/org.springframework/spring-core@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*",CVE-2024-22259,"","Applications that use UriComponentsBuilder in Spring Framework to parse an externally provided URL (e.g. through a query parameter) AND perform validation checks on the host of the parsed URL may be vulnerable to a  open redirect https://cwe.mitre.org/data/definitions/601.html  attack or to a SSRF attack if the URL is used after passing validation checks.  This is the same as  CVE-2024-22243 https://spring.io/security/cve-2024-22243 , but with different input.",NVD,"","","","","","",HIGH,41,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-tx-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-tx/6.1.1/spring-tx-6.1.1.jar,Spring Transaction,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",367792acc5b607715868aedb3e1884f3,100cf99c3e41b12eab810d780c0e6e3905c51c12,pkg:maven/org.springframework/spring-tx@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*",CVE-2024-38820,NVD-CWE-noinfo,"The fix for CVE-2022-22968 made disallowedFields patterns in DataBinder case insensitive. However, String.toLowerCase() has some Locale dependent exceptions that could potentially result in fields not protected as expected.",NVD,"","","",MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,35,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-tx-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-tx/6.1.1/spring-tx-6.1.1.jar,Spring Transaction,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",367792acc5b607715868aedb3e1884f3,100cf99c3e41b12eab810d780c0e6e3905c51c12,pkg:maven/org.springframework/spring-tx@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*",CVE-2024-22259,"","Applications that use UriComponentsBuilder in Spring Framework to parse an externally provided URL (e.g. through a query parameter) AND perform validation checks on the host of the parsed URL may be vulnerable to a  open redirect https://cwe.mitre.org/data/definitions/601.html  attack or to a SSRF attack if the URL is used after passing validation checks.  This is the same as  CVE-2024-22243 https://spring.io/security/cve-2024-22243 , but with different input.",NVD,"","","","","","",HIGH,35,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-web-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-web/6.1.1/spring-web-6.1.1.jar,Spring Web,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",431b4950bad0860cd6165f617e130e9e,4eeb5f2edb9f04d00357edcc56b59d3874b3b453,pkg:maven/org.springframework/spring-web@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:web_project:web:6.1.1:*:*:*:*:*:*:*",CVE-2024-38809,CWE-400 Uncontrolled Resource Consumption,"Applications that parse ETags from ""If-Match"" or ""If-None-Match"" request headers are vulnerable to DoS attack.  Users of affected versions should upgrade to the corresponding fixed version.  Users of older, unsupported versions could enforce a size limit on ""If-Match"" and ""If-None-Match"" headers, e.g. through a Filter.",OSSINDEX,HIGH,8.7,/AV:N/AC:L/Au:/C:/I:/A:,"","","",HIGH,35,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-web-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-web/6.1.1/spring-web-6.1.1.jar,Spring Web,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",431b4950bad0860cd6165f617e130e9e,4eeb5f2edb9f04d00357edcc56b59d3874b3b453,pkg:maven/org.springframework/spring-web@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:web_project:web:6.1.1:*:*:*:*:*:*:*",CVE-2024-22243,CWE-601 URL Redirection to Untrusted Site ('Open Redirect'),Applications that use UriComponentsBuilder to parse an externally provided URL (e.g. through a query parameter) AND perform validation checks on the host of the parsed URL may be vulnerable to a  open redirect https://cwe.mitre.org/data/definitions/601.html  attack or to a SSRF attack if the URL is used after passing validation checks.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2024-22243 for details,OSSINDEX,"","","",HIGH,8.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,HIGH,35,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-web-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-web/6.1.1/spring-web-6.1.1.jar,Spring Web,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",431b4950bad0860cd6165f617e130e9e,4eeb5f2edb9f04d00357edcc56b59d3874b3b453,pkg:maven/org.springframework/spring-web@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:web_project:web:6.1.1:*:*:*:*:*:*:*",CVE-2024-22262,CWE-601 URL Redirection to Untrusted Site ('Open Redirect'),"Applications that use UriComponentsBuilder to parse an externally provided URL (e.g. through a query parameter) AND perform validation checks on the host of the parsed URL may be vulnerable to a  open redirect https://cwe.mitre.org/data/definitions/601.html  attack or to a SSRF attack if the URL is used after passing validation checks.  This is the same as  CVE-2024-22259 https://spring.io/security/cve-2024-22259  and  CVE-2024-22243 https://spring.io/security/cve-2024-22243 , but with different input.",OSSINDEX,"","","",HIGH,8.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,HIGH,35,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-web-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-web/6.1.1/spring-web-6.1.1.jar,Spring Web,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",431b4950bad0860cd6165f617e130e9e,4eeb5f2edb9f04d00357edcc56b59d3874b3b453,pkg:maven/org.springframework/spring-web@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:web_project:web:6.1.1:*:*:*:*:*:*:*",CVE-2025-41234,CWE-113 Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),"Description  In Spring Framework, versions 6.0.x as of 6.0.5, versions 6.1.x and 6.2.x, an application is vulnerable to a reflected file download (RFD) attack when it sets a “Content-Disposition” header with a non-ASCII charset, where the filename attribute is derived from user-supplied input.  Specifically, an application is vulnerable when all the following are true:    *  The header is prepared with org.springframework.http.ContentDisposition.   *  The filename is set via ContentDisposition.Builder#filename(String, Charset).   *  The value for the filename is derived from user-supplied input.   *  The application does not sanitize the user-supplied input.   *  The downloaded content of the response is injected with malicious commands by the attacker (see RFD paper reference for details).   An application is not vulnerable if any of the following is true:    *  The application does not set a “Content-Disposition” response header.   *  The header is not prepared with org.springframework.http.ContentDisposition.   *  The filename is set via one of:  *  ContentDisposition.Builder#filename(String), or   *  ContentDisposition.Builder#filename(String, ASCII)      *  The filename is not derived from user-supplied input.   *  The filename is derived from user-supplied input but sanitized by the application.   *  The attacker cannot inject malicious content in the downloaded content of the response.   Affected Spring Products and VersionsSpring Framework:    *  6.2.0 - 6.2.7   *  6.1.0 - 6.1.20   *  6.0.5 - 6.0.28   *  Older, unsupported versions are not affected   MitigationUsers of affected versions should upgrade to the corresponding fixed version.  Affected version(s)Fix versionAvailability6.2.x6.2.8OSS6.1.x6.1.21OSS6.0.x6.0.29 Commercial https://enterprise.spring.io/ No further mitigation steps are necessary.   CWE-113 in `Content-Disposition` handling in VMware Spring Framework versions 6.0.5 to 6.2.7 allows remote attackers to launch Reflected File Download (RFD) attacks via unsanitized user input in `ContentDisposition.Builder#filename(String, Charset)` with non-ASCII charsets.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2025-41234 for details",OSSINDEX,HIGH,7.4,/AV:N/AC:H/Au:/C:/I:/A:,"","","",HIGH,35,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-web-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-web/6.1.1/spring-web-6.1.1.jar,Spring Web,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",431b4950bad0860cd6165f617e130e9e,4eeb5f2edb9f04d00357edcc56b59d3874b3b453,pkg:maven/org.springframework/spring-web@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:web_project:web:6.1.1:*:*:*:*:*:*:*",CVE-2024-38820,NVD-CWE-noinfo,"The fix for CVE-2022-22968 made disallowedFields patterns in DataBinder case insensitive. However, String.toLowerCase() has some Locale dependent exceptions that could potentially result in fields not protected as expected.",NVD,"","","",MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,HIGH,35,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-web-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-web/6.1.1/spring-web-6.1.1.jar,Spring Web,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",431b4950bad0860cd6165f617e130e9e,4eeb5f2edb9f04d00357edcc56b59d3874b3b453,pkg:maven/org.springframework/spring-web@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:web_project:web:6.1.1:*:*:*:*:*:*:*",CVE-2024-22259,"","Applications that use UriComponentsBuilder in Spring Framework to parse an externally provided URL (e.g. through a query parameter) AND perform validation checks on the host of the parsed URL may be vulnerable to a  open redirect https://cwe.mitre.org/data/definitions/601.html  attack or to a SSRF attack if the URL is used after passing validation checks.  This is the same as  CVE-2024-22243 https://spring.io/security/cve-2024-22243 , but with different input.",NVD,"","","","","","",HIGH,35,"","","","","","","",""
BMO RFB Backend,"Mon, 21 Jul 2025 12:13:32 GMT",spring-webmvc-6.1.1.jar,/home/ubuntu/.m2/repository/org/springframework/spring-webmvc/6.1.1/spring-webmvc-6.1.1.jar,Spring Web MVC,"Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0",072af77e31540979e44865e57e4ff3cf,76c4408b67828aa9656f5955dc2c1c4c0e1b6da3,pkg:maven/org.springframework/spring-webmvc@6.1.1,"cpe:2.3:a:pivotal_software:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:vmware:spring_framework:6.1.1:*:*:*:*:*:*:*, cpe:2.3:a:web_project:web:6.1.1:*:*:*:*:*:*:*",CVE-2024-38816,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"Applications serving static resources through the functional web frameworks WebMvc.fn or WebFlux.fn are vulnerable to path traversal attacks. An attacker can craft malicious HTTP requests and obtain any file on the file system that is also accessible to the process in which the Spring application is running.  Specifically, an application is vulnerable when both of the following are true:    *  the web application uses RouterFunctions to serve static resources   *  resource handling is explicitly configured with a FileSystemResource location   However, malicious requests are blocked and rejected when any of the following is true:    *  the  Spring Security HTTP Firewall https://docs.spring.io/spring-security/reference/servlet/exploits/firewall.html  is in use   *  the application runs on Tomcat or Jetty",OSSINDEX,HIGH,8.2,/AV:N/AC:L/Au:/C:/I:/A:,"","","",HIGH,37,"","","","","","","",""
